[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
lost,0,1,0.3,2
won,1,1,0.1,7
won,2,1,0.1,20
won,3,1,0.13,27
won,4,1,0.17,24
lost,4,2,0.05,2
won,5,2,0.1,24
won,6,2,0.08,26
lost,6,3,0.11,25
lost,6,4,0.08,8
lost,6,5,0.1,15
lost,6,6,0.05,2
lost,6,7,0.04,3
lost,6,8,0.06,6
won,7,8,0.11,19
lost,7,9,0.05,6
lost,7,10,0.03,2
lost,7,11,0.04,5
won,8,11,0.13,33
won,9,11,0.11,26
lost,9,12,0.07,8
lost,9,13,0.13,30
lost,9,14,0.04,1
won,10,14,0.13,34
won,11,14,0.14,35
won,12,14,0.15,36
lost,12,15,0.04,3
lost,12,16,0.07,14
won,13,16,0.08,18
won,14,16,0.15,29
won,15,16,0.1,20
won,16,16,0.12,20
won,17,16,0.12,21
won,18,16,0.13,22
lost,18,17,0.05,3
lost,18,18,0.07,9
lost,18,19,0.07,14
won,19,19,0.09,14
lost,19,20,0.08,7
lost,19,21,0.04,1
lost,19,22,0.04,2
won,20,22,0.1,18
lost,20,23,0.04,1
lost,20,24,0.05,9
lost,20,25,0.05,4
lost,20,26,0.04,1
lost,20,27,0.06,8
won,21,27,0.12,20
lost,21,28,0.1,20
won,22,28,0.14,43
lost,22,29,0.04,2
lost,22,30,0.04,2
lost,22,31,0.07,11
lost,22,32,0.04,3
won,23,32,0.09,21
won,24,32,0.09,22
lost,24,33,0.05,2
lost,24,34,0.04,1
won,25,34,0.13,26
lost,25,35,0.04,2
lost,25,36,0.03,1
won,26,36,0.1,24
won,27,36,0.12,27
lost,27,37,0.05,8
won,28,37,0.12,33
lost,28,38,0.03,1
won,29,38,0.12,37
won,30,38,0.12,37
won,31,38,0.12,38
won,32,38,0.13,39
lost,32,39,0.08,15
lost,32,40,0.05,2
won,33,40,0.2,31
lost,33,41,0.05,2
lost,33,42,0.05,4
lost,33,43,0.05,2
won,34,43,0.09,14
lost,34,44,0.04,1
lost,34,45,0.04,1
won,35,45,0.09,27
won,36,45,0.12,27
won,37,45,0.13,24
won,38,45,0.1,18
lost,38,46,0.08,44
lost,38,47,0.03,1
won,39,47,0.06,20
lost,39,48,0.03,1
won,40,48,0.1,34
won,41,48,0.12,34
lost,41,49,0.04,6
lost,41,50,0.03,3
won,42,50,0.08,23
won,43,50,0.11,31
won,44,50,0.11,34
won,45,50,0.13,28
lost,45,51,0.08,17
won,46,51,0.1,18
won,47,51,0.1,22
lost,47,52,0.03,2
lost,47,53,0.07,10
lost,47,54,0.07,4
lost,47,55,0.03,1
lost,47,56,0.1,19
lost,47,57,0.03,5
lost,47,58,0.03,5
won,48,58,0.09,27
won,49,58,0.12,20
lost,49,59,0.07,4
lost,49,60,0.1,22
won,50,60,0.09,25
won,51,60,0.09,26
won,52,60,0.1,13
lost,52,61,0.03,1
lost,52,62,0.05,8
lost,52,63,0.05,3
lost,52,64,0.04,1
lost,52,65,0.05,8
won,53,65,0.1,15
won,54,65,0.12,15
won,55,65,0.12,16
won,56,65,0.11,30
lost,56,66,0.03,1
won,57,66,0.07,16
lost,57,67,0.03,1
won,58,67,0.1,25
won,59,67,0.12,24
won,60,67,0.11,25
lost,60,68,0.04,3
won,61,68,0.09,19
won,62,68,0.09,23
won,63,68,0.1,20
lost,63,69,0.04,1
lost,63,70,0.06,6
lost,63,71,0.04,5
lost,63,72,0.04,1
lost,63,73,0.03,1
won,64,73,0.11,27
won,65,73,0.11,39
won,66,73,0.09,28
won,67,73,0.1,29
lost,67,74,0.1,20
lost,67,75,0.06,11
lost,67,76,0.04,4
won,68,76,0.1,24
won,69,76,0.1,18
lost,69,77,0.04,5
lost,69,78,0.06,11
lost,69,79,0.06,8
lost,69,80,0.1,17
won,70,80,0.1,21
won,71,80,0.08,18
lost,71,81,0.04,8
won,72,81,0.1,24
won,73,81,0.08,26
lost,73,82,0.03,2
lost,73,83,0.05,11
lost,73,84,0.07,22
won,74,84,0.1,33
won,75,84,0.08,17
won,76,84,0.08,23
lost,76,85,0.03,2
lost,76,86,0.05,3
lost,76,87,0.03,3
won,77,87,0.08,25
won,78,87,0.08,26
lost,78,88,0.02,1
won,79,88,0.07,26
won,80,88,0.07,28
lost,80,89,0.03,2
lost,80,90,0.04,9
won,81,90,0.09,16
won,82,90,0.08,29
lost,82,91,0.08,23
